Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
5114000;511400;Proveedores de inmovilizado a C/P, asoc.;511400;Proveedores de inmovilizado a corto plazo, empresas asociadas
5115000;511500;Proveedores de inmovilizado a C/P, otras vinc.;511500;Proveedores de inmovilizado a corto plazo, otras partes vinculadas
5123000;512300;Acreedores por arrendamiento financiero C/P, grupo;512300;Acreedores por arrendamiento financiero a corto plazo, empresas del grupo
5124000;512400;Acreedores por arrendamiento financiero C/P, asoc.;512400;Acreedores por arrendamiento financiero a corto plazo, empresas asociadas
5125000;512500;Acreedores por arrendamiento financ., otras vinc.;512500;Acreedores por arrendamiento financiero a corto plazo, otras partes vinculadas
5133000;513300;Otras deudas a C/P con empresas del grupo;513300;Otras deudas a corto plazo con empresas del grupo
5134000;513400;Otras deudas a C/P con empresas asoc.;513400;Otras deudas a corto plazo con empresas asociadas
5135000;513500;Otras deudas a C/P con otras partes vinc.;513500;Otras deudas a corto plazo con otras partes vinculadas
5143000;514300;Intereses a C/P de deudas, empresas del grupo;514300;Intereses a corto plazo de deudas con empresas del grupo
5144000;514400;Intereses a C/P de deudas, empresas asociadas;514400;Intereses a corto plazo de deudas con empresas asociadas
5145000;514500;Intereses a C/P de deudas, otras partes vinculadas;514500;Intereses a corto plazo de deudas con otras partes vinculadas
5200000;520000;Préstamos a C/P de entidades de crédito;520000;Préstamos a corto plazo de entidades de crédito
5201000;520100;Deudas a C/P por crédito dispuesto;520100;Deudas a corto plazo por crédito dispuesto
5208000;520800;Deudas por efectos descontados;520800;Deudas por efectos descontados
5209000;520900;"Deudas por operaciones de ""factoring""";520900;Deudas por operaciones de “factoring”
5210000;521000;Deudas a C/P;521000;Deudas a corto plazo
5220000;522000;Deudas C/P transf.subvenciones, donaciones y leg;522000;Deudas a corto plazo transformables en subvenciones, donaciones y legados
5230000;523000;Proveedores de inmovilizado a C/P;523000;Proveedores de inmovilizado a corto plazo
5240000;524000;Acreedores por arrendamiento financiero a C/P;524000;Acreedores por arrendamiento financiero a corto plazo
5250000;525000;Efectos a pagar a C/P;525000;Efectos a pagar a corto plazo
5260000;526000;Dividendo activo a pagar;526000;Dividendo activo a pagar
5270000;527000;Intereses a C/P de deudas entidades de crédito;527000;Intereses a corto plazo de deudas con entidades de crédito
5280000;528000;Intereses a C/P de deudas;528000;Intereses a corto plazo de deudas
5291000;529100;Provisión a C/P para impuestos;529100;Provisión a corto plazo para impuestos
5292000;529200;Provisión a C/P para otras responsabilidades;529200;Provisión a corto plazo para otras responsabilidades
5293000;529300;Provisión C/P desmantelamiento,retiro o rehab.inmo;529300;Provisión a corto plazo por desmantelamiento, retiro o rehabilitación del inmovilizado
5295000;529500;Provisión a C/P para actuaciones medioambientales;529500;Provisión a corto plazo para actuaciones medioambientales
5299000;529900;Provisiones a C/P Dº de emisión GEI;;
5303000;530300;Participaciones a C/P, en grupo;530300;Participaciones a corto plazo en empresas del grupo
5304000;530400;Participaciones a C/P, en asoc.;530400;Participaciones a corto plazo en empresas asociadas
5305000;530500;Participaciones a C/P, en otras vinc.;530500;Participaciones a corto plazo en otras partes vinculadas
5313000;531300;Valores representativos deuda a C/P de grupo;531300;Valores representativos de deuda a corto plazo de empresas del grupo
5314000;531400;Valores representativos deuda a C/P de asoc.;531400;Valores representativos de deuda a corto plazo de empresas asociadas
